검색어,제목,저자,출판사,출판년,청구기호,자료유형,총서명,소장처,대출상태,서지ID,상세URL
인공지능,人工知能,이주근,淸文閣,1986,006.3 이77ㅇ,단행본,,보관서고(대출실) 자료이용은 대출실로 문의 | 1관4층 일반도서,대출가능 | 대출가능,CATTOC000000055427,https://library.sogang.ac.kr/search/detail/CATTOC000000055427
인공지능,인공지능과 윤리,김효은,커뮤니케이션북스,2019,174.9629892 김96ㅇ,단행본,인공지능 총서,1관3층 일반도서,대출가능,CATTOC000000861537,https://library.sogang.ac.kr/search/detail/CATTOC000000861537
인공지능,인공지능 기법,김성식,홍릉과학,1996,006.3 김53ㅇ,단행본,,1관4층 일반도서,대출가능,CATTOC000000301742,https://library.sogang.ac.kr/search/detail/CATTOC000000301742
인공지능,의료 인공지능,최윤섭,클라우드나인,2018,610.28563 최67ㅇ,단행본,,2관4층 일반도서,대출가능,CATTOC000000841314,https://library.sogang.ac.kr/search/detail/CATTOC000000841314
인공지능,"인공지능, 인간을 유혹하다",김재호,제이펍,2016,629.892 김72ㅇ,단행본,,2관4층 일반도서,대출가능,CATTOC000000796814,https://library.sogang.ac.kr/search/detail/CATTOC000000796814
인공지능,(최신) 인공지능,조영임,학문사,1999,006.3 조64ㅊ,단행본,,1관4층 일반도서,대출가능,CATTOC000000337496,https://library.sogang.ac.kr/search/detail/CATTOC000000337496
인공지능,인공지능과 그 응용,김희승,생능,1994,006.3 김98ㅇ,단행본,,1관4층 일반도서,대출가능,CATTOC000000207612,https://library.sogang.ac.kr/search/detail/CATTOC000000207612
인공지능,예술과 인공지능,이재박,MID : 엠아이디미디어,2021,700.1 이72ㅇ,단행본,,2관5층 일반도서,대출가능,CATTOC000000920857,https://library.sogang.ac.kr/search/detail/CATTOC000000920857
인공지능,인공지능,"Winston, Patrick H",생능,1990,006.3 W783a 1984/K,단행본,,1관4층 일반도서,대출가능,CATTOC000000055433,https://library.sogang.ac.kr/search/detail/CATTOC000000055433
인공지능,인공지능 70 : 재미있게 알아보는 AI 키워드,삼택 양일랑,제이펍,2017,006.3 삼832ㅎ K,단행본,제이펍의 인공지능 시리즈,1관4층 일반도서,대출가능,CATTOC000000830751,https://library.sogang.ac.kr/search/detail/CATTOC000000830751
인공지능,지능의 탄생 : RNA에서 인공지능까지,이대열,바다,2017,612.82 이222ㅈ,단행본,,2관4층 일반도서,대출가능,CATTOC000000811954,https://library.sogang.ac.kr/search/detail/CATTOC000000811954
인공지능,"(XAI 설명 가능한 인공지능,) 인공지능을 해부하다 : 블랙박스를 이해하고 시스템의 신뢰성을 높이기 위한",안재현,위키북스,2020,006.3 안72ㅇ,단행본,데이터 사이언스 시리즈,1관4층 일반도서,대출가능,CATTOC000000883075,https://library.sogang.ac.kr/search/detail/CATTOC000000883075
인공지능,에이트 : 인공지능에게 대체되지 않는 나를 만드는 법,이지성,차이정원,2019,303.4834 이79ㅇ,단행본,,2관3층 일반도서,대출가능,CATTOC000000869587,https://library.sogang.ac.kr/search/detail/CATTOC000000869587
인공지능,인공지능 : 튜링 테스트에서 딥러닝까지,이건명,생능,2018,006.3 이13ㅇ,단행본,,1관4층 일반도서,상세정보확인,CATTOC000000853518,https://library.sogang.ac.kr/search/detail/CATTOC000000853518
인공지능,모두의 인공지능 기초 수학 : 누구나 쉽게 시작하는 인공지능 수학,서지영,길벗,2020,510 서79ㅁ,단행본,즐거운 프로그래밍 경험 모두의 시리즈,2관4층 일반도서,대출가능,CATTOC000000891897,https://library.sogang.ac.kr/search/detail/CATTOC000000891897
인공지능,한국어와 인공지능,고창수,태학사,1999,411.0285 고811ㅎ,단행본,,2관4층 일반도서,대출가능,CATTOC000000362082,https://library.sogang.ac.kr/search/detail/CATTOC000000362082
인공지능,인공지능 제어시스템,황우현,B.C.Info : 복두출판사,2020,006.3 황67ㅇ,단행본,,1관4층 일반도서,대출가능,CATTOC000000901203,https://library.sogang.ac.kr/search/detail/CATTOC000000901203
인공지능,모두의 인공지능 with 파이썬 : 누구나 쉽게 시작하는 딥러닝 기초 프로그래밍,이영호,길벗,2020,005.133 P6이영,단행본,즐거운 프로그래밍 경험 모두의 시리즈,1관4층 일반도서,대출가능,CATTOC000000902388,https://library.sogang.ac.kr/search/detail/CATTOC000000902388
인공지능,(인공지능) 자동화공정제어,김동화,기다리,1998,629.8 김225ㅇ,단행본,,2관4층 일반도서,대출가능,CATTOC000000317405,https://library.sogang.ac.kr/search/detail/CATTOC000000317405
인공지능,인공지능과 법,한국인공지능법학회,박영사,2019,LA 343.0999 한17ㅇ,단행본,,법학전문도서관 단행본서가,상세정보확인,CATTOC000000857099,https://library.sogang.ac.kr/search/detail/CATTOC000000857099
경제학,경제학 원론,김균,태진,1995,330 김17ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000208274,https://library.sogang.ac.kr/search/detail/CATTOC000000208274
경제학,경제학,권병무,무역경영사,1997,330 권44ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000364172,https://library.sogang.ac.kr/search/detail/CATTOC000000364172
경제학,경제학,"Kishtainy, Niall",아르테,2017,330.02 K61e K,단행본,한 장의 지식,2관3층 일반도서,대출가능,CATTOC000000808281,https://library.sogang.ac.kr/search/detail/CATTOC000000808281
경제학,경제학 101,노택선,해남,2008,330 노832ㄱㅈ,단행본,,2관3층 일반도서,대출가능,CATTOC000000598780,https://library.sogang.ac.kr/search/detail/CATTOC000000598780
경제학,경제학 포럼: 미시경제학,주한광,율곡,1999,330.076 주91ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000355600,https://library.sogang.ac.kr/search/detail/CATTOC000000355600
경제학,경제학 포럼: 거시경제학,주한광,율곡,1999,339.076 주91ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000174745,https://library.sogang.ac.kr/search/detail/CATTOC000000174745
경제학,(2007)경제학,황종휴,웅지,2007,330 황75ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000552381,https://library.sogang.ac.kr/search/detail/CATTOC000000552381
경제학,새 경제학 개론,조성환,법영사,1994,330 조53ㅅㅎ,단행본,,2관3층 일반도서,대출가능,CATTOC000000067430,https://library.sogang.ac.kr/search/detail/CATTOC000000067430
경제학,(맨큐의) 경제학,"Mankiw, N. Gregory",교보문고,1999,330 M278p K,단행본,,보관서고(대출실) 자료이용은 대출실로 문의 | 2관3층 일반도서,대출가능 | 상세정보확인,CATTOC000000332011,https://library.sogang.ac.kr/search/detail/CATTOC000000332011
경제학,웹 2.0 경제학,김국현,황금부엉이,2006,658.8 김17ㅇ | 보관서고 | LA 658.8 김17ㅇ,단행본,,2관5층 일반도서 | 법학전문도서관 데스크로 문의 [LA 658.8 김17ㅇ] | 법학전문도서관 단행본서가,대출가능 | 대출가능 | 대출가능,CATTOC000000540136,https://library.sogang.ac.kr/search/detail/CATTOC000000540136
